Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
64	7839.64	123.941	8073.55	7714.39	8301.35	141.443	8449.34	8036.76	1000.0	1000.0	324999	508.368	125.751	633.507	7.1886	508.367	125.751	635.802	17.5457	0.224696	0.00219478	0.229244	0.22001	0.00742548	6.00489	4.03524	41.6412	-13.6773	-507.809	12.6747	12.862	8045.320775508881
65	7936.97	106.77	8085.39	7753.45	8454.15	80.6584	8545.01	8342.74	1000.0	1000.0	329999	512.979	126.054	639.905	21.355	512.979	126.054	637.488	23.4679	0.225477	0.00132348	0.228307	0.222032	-8.48778e-05	5.99989	4.02918	38.9642	-13.6667	-512.419	12.8482	13.0044	8168.229753494263
66	8069.46	141.183	8249.85	7825.81	8514.91	114.102	8609.89	8293.12	1000.0	1000.0	334999	517.921	126.02	642.145	20.4981	517.922	126.02	641.92	20.3058	0.226839	0.0020862	0.230871	0.220898	0.00164648	6.00105	4.0236	41.9327	-12.9677	-517.363	12.6803	12.8782	8291.12823009491
67	8082.28	111.889	8189.41	7944.45	8645.28	89.5789	8786.79	8551.04	1000.0	1000.0	339999	522.486	126.533	650.872	6.25065	522.485	126.534	648.253	9.3237	0.226485	0.00135491	0.229884	0.22352	0.000971524	6.00059	4.01011	49.4424	-13.2517	-521.945	12.6087	12.7349	8414.03726053238
68	8212.91	74.9542	8296.29	8092.99	8790.36	140.793	8992.77	8569.56	1000.0	1000.0	344999	527.27	127.051	653.445	10.2759	527.269	127.051	651.445	18.6017	0.227176	0.00179191	0.231009	0.223304	0.00060949	6.00035	4.00933	44.1076	-14.9375	-526.73	12.5073	12.6726	8537.01311326027
69	8283.58	118.742	8464.94	8100.15	8566.24	83.0159	8709.55	8458.01	1000.0	1000.0	349999	531.654	127.252	662.741	17.8987	531.654	127.253	664.228	11.9501	0.227678	0.001273	0.231132	0.224717	-0.00412028	5.99716	4.0012	39.0713	-12.6944	-531.121	12.5284	12.6402	8660.168860912323
70	8244.32	127.168	8407.71	8126.99	8721.5	58.4448	8813.27	8659.98	1000.0	1000.0	354999	536.606	127.57	670.632	6.62543	536.606	127.57	671.204	18.1305	0.228065	0.00202634	0.232767	0.224649	0.00569633	6.00379	3.99168	40.6412	-14.9766	-536.08	12.6818	12.8087	8783.037138700485
71	8234.04	71.0297	8344.67	8124.48	8968.78	49.877	9057.31	8904.11	1000.0	1000.0	359999	540.72	128.339	675.892	22.1648	540.72	128.34	674.618	23.6246	0.229801	0.00120739	0.232673	0.22667	0.000893751	6.00055	3.991	38.9159	-12.8511	-540.182	12.7433	12.8468	8905.989953994751
72	8375.52	99.6261	8508.69	8216.65	8820.2	119.941	9035.34	8694.98	1000.0	1000.0	364999	545.073	128.591	679.424	18.5753	545.073	128.592	677.912	21.1663	0.229923	0.00217819	0.235091	0.226317	-0.00124145	5.99909	3.99154	37.0689	-14.0373	-544.542	12.7651	12.8096	9028.936102867126
73	8275.15	97.5018	8402.64	8145.44	8475.72	138.93	8656.22	8275.9	1000.0	1000.0	369999	549.467	128.506	684.548	23.9207	549.467	128.506	685.597	25.6626	0.230949	0.00211774	0.236199	0.22597	-0.00102235	5.99925	3.95941	41.5562	-13.2196	-548.933	12.8218	12.8362	9151.975717544556
74	8162.84	184.978	8450.95	7939.35	8656.58	52.4369	8742.89	8604.39	1000.0	1000.0	374999	553.692	128.825	686.091	15.1622	553.692	128.826	686.315	23.6454	0.230208	0.00234096	0.236393	0.226013	0.00697701	6.0047	3.95487	33.7187	-13.3144	-553.173	12.7802	12.8302	9274.798533678055
75	8449.56	61.4805	8538.9	8366.14	8894.88	178.418	9094.39	8684.15	1000.0	1000.0	379999	557.556	128.723	690.751	27.1484	557.556	128.723	690.289	23.105	0.231075	0.00136574	0.234615	0.22851	-0.00527511	5.99634	3.94921	36.9687	-13.1721	-557.029	12.8713	12.928	9397.573777914047
76	7250.88	2248.46	8508.71	2759.19	9078.42	205.336	9279.46	8731.12	1000.0	1000.0	384999	560.356	131.049	697.96	16.4016	560.356	131.05	695.676	12.6775	0.231207	0.00178934	0.234564	0.224898	0.00508034	6.00341	3.96983	34.3458	-13.352	-559.836	13.3627	13.4746	9520.575788736343
